"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"        Estimate","23,652"
"        Margin of Error","±362"
"    Percent Distribution",""
"        Estimate","23,652"
"        Margin of Error","±362"
"    Median income (dollars)",""
"        Estimate","71,809"
"        Margin of Error","±2,636"
"Belknap County, New Hampshire",""
"    Number",""
"        Estimate","26,118"
"        Margin of Error","±696"
"    Percent Distribution",""
"        Estimate","26,118"
"        Margin of Error","±696"
"    Median income (dollars)",""
"        Estimate","87,983"
"        Margin of Error","±5,056"
"Carroll County, New Hampshire",""
"    Number",""
"        Estimate","22,096"
"        Margin of Error","±648"
"    Percent Distribution",""
"        Estimate","22,096"
"        Margin of Error","±648"
"    Median income (dollars)",""
"        Estimate","82,961"
"        Margin of Error","±4,158"
"Cheshire County, New Hampshire",""
"    Number",""
"        Estimate","30,519"
"        Margin of Error","±463"
"    Percent Distribution",""
"        Estimate","30,519"
"        Margin of Error","±463"
"    Median income (dollars)",""
"        Estimate","81,001"
"        Margin of Error","±3,886"
"Coos County, New Hampshire",""
"    Number",""
"        Estimate","13,818"
"        Margin of Error","±331"
"    Percent Distribution",""
"        Estimate","13,818"
"        Margin of Error","±331"
"    Median income (dollars)",""
"        Estimate","58,439"
"        Margin of Error","±3,111"
"Grafton County, New Hampshire",""
"    Number",""
"        Estimate","36,107"
"        Margin of Error","±741"
"    Percent Distribution",""
"        Estimate","36,107"
"        Margin of Error","±741"
"    Median income (dollars)",""
"        Estimate","84,021"
"        Margin of Error","±2,594"
"Hillsborough County, New Hampshire",""
"    Number",""
"        Estimate","167,732"
"        Margin of Error","±860"
"    Percent Distribution",""
"        Estimate","167,732"
"        Margin of Error","±860"
"    Median income (dollars)",""
"        Estimate","100,436"
"        Margin of Error","±1,773"
"Merrimack County, New Hampshire",""
"    Number",""
"        Estimate","60,445"
"        Margin of Error","±478"
"    Percent Distribution",""
"        Estimate","60,445"
"        Margin of Error","±478"
"    Median income (dollars)",""
"        Estimate","93,944"
"        Margin of Error","±2,418"
"Rockingham County, New Hampshire",""
"    Number",""
"        Estimate","126,588"
"        Margin of Error","±777"
"    Percent Distribution",""
"        Estimate","126,588"
"        Margin of Error","±777"
"    Median income (dollars)",""
"        Estimate","113,927"
"        Margin of Error","±2,867"
"Strafford County, New Hampshire",""
"    Number",""
"        Estimate","51,684"
"        Margin of Error","±445"
"    Percent Distribution",""
"        Estimate","51,684"
"        Margin of Error","±445"
"    Median income (dollars)",""
"        Estimate","86,564"
"        Margin of Error","±4,627"
"Sullivan County, New Hampshire",""
"    Number",""
"        Estimate","16,079"
"        Margin of Error","±404"
"    Percent Distribution",""
"        Estimate","16,079"
